City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Singkang,MY,80.6,light rain,2.1,102.8,Kampung Seri Makmor Pagoh
408,Taoudenni,ML,83.44,scattered clouds,22.68,-3.98,
411,Juigalpa,NI,77.0,scattered clouds,12.11,-85.36,Ethos Inn
414,Trincomalee,LK,82.0,moderate rain,8.57,81.23,Welcombe Hotel
415,Pandamatenga,BW,80.24,clear sky,-18.53,25.63,Wildtrack Safaris Eco Lodge
416,Gonzalez,US,75.2,clear sky,30.58,-87.29,Motel Air Inc
417,Florianopolis,BR,73.0,scattered clouds,-27.61,-48.5,Hotel Boutique Quinta das Videiras
418,Malanje,AO,70.39,broken clouds,-9.54,16.34,Malanje Hotel
420,Puerto Cabezas,NI,77.0,broken clouds,14.04,-83.39,Hotel Caribe
422,Playa Vicente,MX,74.07,overcast clouds,17.83,-95.82,"Hotel ""Imperio"""
425,Mugumu,TZ,70.77,overcast clouds,-1.85,34.7,Lemala Mara
426,Takoradi,GH,79.36,light rain,4.88,-1.76,Raybow International Hotel
431,San Patricio,US,80.01,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
432,Comodoro Rivadavia,AR,80.6,clear sky,-45.87,-67.5,Austral Hotel
434,Caucaia,BR,86.0,scattered clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
436,San Ignacio,BZ,84.99,scattered clouds,17.16,-89.07,Rainforest Haven Inn
438,Road Town,VG,86.0,few clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
444,Cape Canaveral,US,80.01,broken clouds,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
446,Karratha,AU,73.06,scattered clouds,-20.74,116.85,ibis Styles Karratha
450,Phra Phutthabat,TH,78.01,few clouds,14.73,100.8,Pruksa Siri View
452,Bien Hoa,VN,78.8,broken clouds,10.95,106.82,OYO 991 Duy Anh Hotel
453,Henderson,US,75.99,clear sky,36.04,-114.98,Hawthorn Suites By Wyndham Las Vegas/Henderson
454,Banda Aceh,ID,79.66,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
455,Isla Mujeres,MX,82.4,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
460,Paka,MY,78.8,overcast clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
462,Angoche,MZ,79.29,overcast clouds,-16.23,39.91,Guest House HESADA
463,Riyadh,SA,75.2,clear sky,24.69,46.72,InterContinental Riyadh
464,Kota,IN,70.29,clear sky,25.18,75.83,Hotel Surya Royal
466,Kudahuvadhoo,MV,82.92,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
471,Manokwari,ID,81.72,heavy intensity rain,-0.87,134.08,Swiss Belhotel Manokwari
478,General Roca,AR,86.0,clear sky,-39.03,-67.58,Hotel El Recreo
479,Cayenne,GF,87.8,overcast clouds,4.93,-52.33,Hôtel Le Dronmi
482,Alice Springs,AU,73.4,clear sky,-23.7,133.88,Desert Palms Alice Springs
483,Khudumelapye,BW,74.41,moderate rain,-23.88,24.75,
484,Lere,NG,74.52,scattered clouds,10.39,8.57,
486,Ishigaki,JP,77.09,few clouds,24.34,124.16,Hotel Peace Land Ishigakijima
487,Cuamba,MZ,75.81,overcast clouds,-14.8,36.54,Hotel Vision
488,Isangel,VU,75.27,clear sky,-19.55,169.27,Volcano Sea View Tree House
489,Acarau,BR,87.01,few clouds,-2.89,-40.12,castelo pizzaria
490,Acajutla,SV,86.0,few clouds,13.59,-89.83,Stop.
496,Dogondoutchi,NE,89.17,few clouds,13.64,4.03,Hôtel Alheri Maison Alheri
498,Kapit,MY,74.77,overcast clouds,2.02,112.93,Hotel Meligai Kapit
499,Vila Velha,BR,77.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
502,Meulaboh,ID,76.98,light rain,4.14,96.13,Kost Pria
505,Marrakesh,MA,80.6,clear sky,31.63,-8.01,Les Jardins de La Koutoubia
506,Kirakira,SB,79.68,overcast clouds,-10.45,161.92,SanBiz Lodge
507,Port Hueneme,US,73.99,clear sky,34.15,-119.2,Hampton Inn Channel Islands Harbor
514,Champerico,GT,86.0,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
516,Daura,NG,84.09,broken clouds,11.55,11.41,
518,Kerouane,GN,78.35,clear sky,9.27,-9.02,
521,Tigre,AR,75.99,few clouds,-34.43,-58.58,Puerto Delta Apartamentos
523,Los Llanos De Aridane,ES,82.4,clear sky,28.66,-17.92,Valle Aridane
525,Morondava,MG,78.64,scattered clouds,-20.28,44.28,La Case Bambou
527,Poso,ID,82.99,overcast clouds,-1.4,120.75,Hotel 77 Poso
528,La Palma,US,75.0,haze,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
530,Payo,ID,72.18,overcast clouds,-3.75,103.64,Mess keban agung
533,Makaleng,BW,71.6,scattered clouds,-20.9,27.28,
534,Manta,EC,82.4,scattered clouds,-0.95,-80.73,Balandra Hotel
535,Maneadero,MX,82.0,scattered clouds,31.72,-116.57,Casa De Thompson
536,Marsh Harbour,BS,81.36,clear sky,26.54,-77.06,Abaco Beach Resort
539,Aden,YE,82.58,clear sky,12.78,45.04,Sama Emirate Hotel
540,Sapa,PH,81.41,moderate rain,5.15,120.32,
541,Mackay,AU,70.0,scattered clouds,-21.15,149.2,International Lodge Motel
544,Atar,MR,89.94,overcast clouds,20.52,-13.05,Oumou Elghoura
547,Xuddur,SO,76.69,moderate rain,4.12,43.89,Banjanay Hotel
557,Dunmore Town,BS,81.95,clear sky,25.5,-76.65,Coral Sands Hotel
560,Embonas,GR,71.6,few clouds,36.23,27.86,Hotel Ataviros
562,Arlit,NE,82.0,broken clouds,18.74,7.39,Hôtel Telwa Bungalow
564,Luena,AO,73.56,broken clouds,-11.78,19.92,Hotel Kandamba
568,Hambantota,LK,79.63,few clouds,6.12,81.12,Bungalow 63
577,Uberaba,BR,82.4,broken clouds,-19.75,-47.93,Tamareiras Park Hotel
